spp,t_c,block,plant,sample,area,dry_wt,SLA
BA,T,B,5,1,26.36,0.072,366.1111111
BA,T,B,5,2,33.35,0.109,305.9633028
BA,T,B,5,3,39.12,0.115,340.173913
BA,T,B,6,1,33.84,0.098,345.3061224
BA,T,B,6,2,42.81,0.127,337.0866142
BA,T,B,6,3,35.26,0.096,367.2916667
BA,T,B,7,1,24.09,0.066,365
BA,T,B,7,2,40.18,0.109,368.6238532
BA,T,B,7,3,48.65,0.135,360.3703704
BA,T,B,8,1,26.44,0.072,367.2222222
BA,T,B,8,2,30.64,0.082,373.6585366
BA,T,B,8,3,48.34,0.14,345.2857143
DW,C,A,1,1,13.08,0.034,384.7058824
DW,C,A,1,2,17.75,0.049,362.244898
DW,C,A,1,3,20.21,0.058,348.4482759
DW,C,A,2,1,11.41,0.032,356.5625
DW,C,A,2,2,18.23,0.052,350.5769231
DW,C,A,2,3,25.74,0.077,334.2857143
DW,C,A,3,1,12.76,0.035,364.5714286
DW,C,A,3,2,22,0.055,400
DW,C,A,3,3,19.94,0.056,356.0714286
DW,C,A,4,1,13.04,0.04,326
DW,C,A,4,2,17.1,0.067,255.2238806
DW,C,A,4,3,25.1,0.062,404.8387097
DW,C,A,5,1,18.41,0.044,418.4090909
DW,C,A,5,2,12.69,0.027,470
DW,C,A,5,3,14.42,0.037,389.7297297
DW,C,A,6,1,10.84,0.027,401.4814815
DW,C,A,6,2,16.63,0.049,339.3877551
DW,C,A,6,3,17.01,0.042,405
DW,C,A,7,1,13.96,0.038,367.3684211
DW,C,A,7,2,21.83,0.057,382.9824561
DW,C,A,7,3,18.91,0.057,331.754386
DW,C,A,8,1,8.65,0.033,262.1212121
DW,C,A,8,2,16.47,0.042,392.1428571
DW,C,A,8,3,16.69,0.05,333.8
DW,T,A,1,1,14.79,0.037,399.7297297
DW,T,A,1,2,18.88,0.054,349.6296296
DW,T,A,1,3,19.81,0.066,300.1515152
DW,T,A,2,1,5.47,0.021,260.4761905
DW,T,A,2,2,12.81,0.041,312.4390244
DW,T,A,2,3,10.53,0.039,270
DW,T,A,3,1,12.22,0.029,421.3793103
DW,T,A,3,2,17.91,0.05,358.2
DW,T,A,3,3,14.93,0.071,210.2816901
DW,T,A,4,1,11.15,0.036,309.7222222
DW,T,A,4,2,15.99,0.057,280.5263158
DW,T,A,4,3,28.61,0.082,348.902439
DW,T,A,5,1,15.17,0.048,316.0416667
DW,T,A,5,2,28.13,0.075,375.0666667
DW,T,A,5,3,24.86,0.081,306.9135802
DW,T,A,6,1,14.49,0.043,336.9767442
DW,T,A,6,2,18.09,0.06,301.5
DW,T,A,6,3,16.75,0.069,242.7536232
DW,T,A,7,1,14.28,0.045,317.3333333
DW,T,A,7,2,13.42,0.057,235.4385965
DW,T,A,7,3,24.23,0.072,336.5277778
DW,T,A,8,1,15.48,0.043,360
DW,T,A,8,2,20.91,0.061,342.7868852
DW,T,A,8,3,20.1,0.067,300
DW,C,B,1,1,11.64,0.028,415.7142857
DW,C,B,1,2,10.06,0.034,295.8823529
DW,C,B,1,3,18.2,0.039,466.6666667
DW,C,B,2,1,7.38,0.019,388.4210526
DW,C,B,2,2,10.95,0.032,342.1875
DW,C,B,2,3,19.89,0.042,473.5714286
DW,C,B,3,1,17.15,0.042,408.3333333
DW,C,B,3,2,17.96,0.044,408.1818182
DW,C,B,3,3,11.42,0.027,422.962963
DW,C,B,4,1,10.28,0.026,395.3846154
DW,C,B,4,2,16.53,0.039,423.8461538
DW,C,B,4,3,9.04,0.018,502.2222222
DW,C,B,5,1,12.53,0.032,391.5625
DW,C,B,5,2,19.89,0.047,423.1914894
DW,C,B,5,3,20.17,0.053,380.5660377
DW,C,B,6,1,15.76,0.041,384.3902439
DW,C,B,6,2,21.01,0.065,323.2307692
DW,C,B,6,3,23.43,0.07,334.7142857
DW,C,B,7,1,12.02,0.035,343.4285714
DW,C,B,7,2,20.89,0.052,401.7307692
DW,C,B,7,3,15.8,0.055,287.2727273
DW,C,B,8,1,12.66,0.03,422
DW,C,B,8,2,17.97,0.057,315.2631579
DW,C,B,8,3,28.59,0.077,371.2987013
DW,T,B,1,1,13.51,0.029,465.862069
DW,T,B,1,2,18,0.039,461.5384615
DW,T,B,1,3,16.84,0.044,382.7272727
DW,T,B,2,1,12.64,0.027,468.1481481
DW,T,B,2,2,18.5,0.043,430.2325581
DW,T,B,2,3,20.11,0.05,402.2
DW,T,B,3,1,5.5,0.019,289.4736842
DW,T,B,3,2,12.69,0.041,309.5121951
DW,T,B,3,3,14.63,0.047,311.2765957
DW,T,B,4,1,9.79,0.028,349.6428571
DW,T,B,4,2,20.41,0.057,358.0701754
DW,T,B,4,3,19.22,0.06,320.3333333
DW,T,B,5,1,13.82,0.036,383.8888889
DW,T,B,5,2,19.99,0.057,350.7017544
DW,T,B,5,3,21.67,0.075,288.9333333
DW,T,B,6,1,11.09,0.034,326.1764706
DW,T,B,6,2,24.29,0.05,485.8
DW,T,B,6,3,21.02,0.05,420.4
DW,T,B,7,1,15.54,0.037,420
DW,T,B,7,2,22.5,0.057,394.7368421
DW,T,B,7,3,19.13,0.065,294.3076923
DW,T,B,8,1,14.57,0.032,455.3125
DW,T,B,8,2,16.64,0.048,346.6666667
DW,T,B,8,3,12.36,0.043,287.4418605
PB,C,A,1,1,108.94,0.318,342.5786164
PB,C,A,1,2,59.43,0.19,312.7894737
PB,C,A,1,3,28.04,0.084,333.8095238
PB,C,A,2,1,108.87,0.404,269.480198
PB,C,A,2,2,86.17,0.263,327.6425856
PB,C,A,2,3,22.56,0.063,358.0952381
PB,C,A,3,1,68.64,0.17,403.7647059
PB,C,A,3,2,54.99,0.175,314.2285714
PB,C,A,3,3,23.89,0.083,287.8313253
PB,C,A,4,1,105.92,0.258,410.5426357
PB,C,A,4,2,65.5,0.172,380.8139535
PB,C,A,4,3,10.46,0.033,316.969697
PB,C,A,5,1,125.22,0.372,336.6129032
PB,C,A,5,2,85.31,0.206,414.1262136
PB,C,A,5,3,31.66,0.098,323.0612245
PB,C,A,6,1,105.14,0.258,407.5193798
PB,C,A,6,2,87.58,0.188,465.8510638
PB,C,A,6,3,36.16,0.105,344.3809524
PB,C,A,7,1,117.94,0.369,319.6205962
PB,C,A,7,2,94.95,0.275,345.2727273
PB,C,A,7,3,41.58,0.099,420
PB,C,A,8,1,90.29,0.228,396.0087719
PB,C,A,8,2,91.16,0.238,383.0252101
PB,C,A,8,3,45.2,0.134,337.3134328
PB,T,A,1,1,89.74,0.239,375.4811715
PB,T,A,1,2,71.22,0.255,279.2941176
PB,T,A,1,3,33.4,0.131,254.9618321
PB,T,A,2,1,95.03,0.208,456.875
PB,T,A,2,2,84.58,0.194,435.9793814
PB,T,A,2,3,47.6,0.185,257.2972973
PB,T,A,3,1,94.43,0.27,349.7407407
PB,T,A,3,2,75.03,0.222,337.972973
PB,T,A,3,3,18.56,0.069,268.9855072
PB,T,A,4,1,113.53,0.251,452.310757
PB,T,A,4,2,103.02,0.234,440.2564103
PB,T,A,4,3,35.13,0.139,252.7338129
PB,T,A,5,1,74.24,0.187,397.0053476
PB,T,A,5,2,83.86,0.203,413.1034483
PB,T,A,5,3,33.29,0.12,277.4166667
PB,T,A,6,1,114.33,0.291,392.8865979
PB,T,A,6,2,86.79,0.256,339.0234375
PB,T,A,6,3,19.91,0.084,237.0238095
PB,T,A,7,1,109.61,0.256,428.1640625
PB,T,A,7,2,91.85,0.273,336.4468864
PB,T,A,7,3,24.4,0.087,280.4597701
PB,T,A,8,1,90.46,0.195,463.8974359
PB,T,A,8,2,67.59,0.247,273.6437247
PB,T,A,8,3,29.92,0.116,257.9310345
PB,C,B,1,1,100.13,0.317,315.8675079
PB,C,B,1,2,70.61,0.196,360.255102
PB,C,B,1,3,30.57,0.082,372.804878
PB,C,B,2,1,115.34,0.344,335.2906977
PB,C,B,2,2,96.68,0.277,349.0252708
PB,C,B,2,3,39.24,0.114,344.2105263
PB,C,B,3,1,94.29,0.243,388.0246914
PB,C,B,3,2,92.34,0.254,363.5433071
PB,C,B,3,3,35.07,0.114,307.6315789
PB,C,B,4,1,103.99,0.276,376.7753623
PB,C,B,4,2,115.29,0.28,411.75
PB,C,B,4,3,22.94,0.062,370
PB,C,B,5,1,104.27,0.316,329.9683544
PB,C,B,5,2,97.76,0.273,358.0952381
PB,C,B,5,3,79.73,0.237,336.4135021
PB,C,B,6,1,82.92,0.229,362.0960699
PB,C,B,6,2,105.94,0.372,284.7849462
PB,C,B,6,3,47.82,0.159,300.754717
PB,C,B,7,1,95.37,0.251,379.9601594
PB,C,B,7,2,83.01,0.244,340.204918
PB,C,B,7,3,27.93,0.108,258.6111111
PB,C,B,8,1,96.38,0.277,347.9422383
PB,C,B,8,2,108.08,0.276,391.5942029
PB,C,B,8,3,38.24,0.127,301.1023622
PB,T,B,1,1,92.03,0.195,471.9487179
PB,T,B,1,2,101.36,0.224,452.5
PB,T,B,1,3,42.71,0.125,341.68
PB,T,B,2,1,64.96,0.162,400.9876543
PB,T,B,2,2,101.55,0.282,360.106383
PB,T,B,2,3,48.43,0.19,254.8947368
PB,T,B,3,1,77.8,0.171,454.9707602
PB,T,B,3,2,112.73,0.263,428.6311787
PB,T,B,3,3,23.56,0.087,270.8045977
PB,T,B,4,1,95.96,0.22,436.1818182
PB,T,B,4,2,84.69,0.192,441.09375
PB,T,B,4,3,27.64,0.12,230.3333333
PB,T,B,5,1,48.7,0.172,283.1395349
PB,T,B,5,2,77.08,0.176,437.9545455
PB,T,B,5,3,44.68,0.182,245.4945055
PB,T,B,6,1,98.44,0.256,384.53125
PB,T,B,6,2,37.88,0.114,332.2807018
PB,T,B,6,3,25.54,0.079,323.2911392
PB,T,B,7,1,94.81,0.296,320.3040541
PB,T,B,7,2,93.81,0.273,343.6263736
PB,T,B,7,3,34.52,0.096,359.5833333
PB,T,B,8,1,93.12,0.232,401.3793103
PB,T,B,8,2,92.22,0.287,321.3240418
PB,T,B,8,3,40.94,0.152,269.3421053
SF,C,A,1,1,22.24,0.079,281.5189873
SF,C,A,1,2,78.9,0.238,331.512605
SF,C,A,1,3,102.63,0.328,312.8963415
SF,C,A,2,1,32.67,0.056,583.3928571
SF,C,A,2,2,62.07,0.161,385.5279503
SF,C,A,2,3,73.03,0.248,294.4758065
SF,C,A,3,1,13.84,0.037,374.0540541
SF,C,A,3,2,43.6,0.127,343.3070866
SF,C,A,3,3,59.97,0.232,258.4913793
SF,C,A,4,1,23.47,0.059,397.7966102
SF,C,A,4,2,77.22,0.216,357.5
SF,C,A,4,3,81.8,0.302,270.8609272
SF,C,A,5,1,27.48,0.062,443.2258065
SF,C,A,5,2,79.7,0.195,408.7179487
SF,C,A,5,3,101.54,0.329,308.6322188
SF,C,A,6,1,35.78,0.097,368.8659794
SF,C,A,6,2,104.38,0.301,346.7774086
SF,C,A,6,3,85.3,0.271,314.7601476
SF,C,A,7,1,34.32,0.082,418.5365854
SF,C,A,7,2,96.98,0.247,392.6315789
SF,C,A,7,3,113.33,0.31,365.5806452
SF,C,A,8,1,25.67,0.062,414.0322581
SF,C,A,8,2,105.72,0.288,367.0833333
SF,C,A,8,3,46.54,0.184,252.9347826
SF,T,A,1,1,6.15,0.024,256.25
SF,T,A,1,2,61.52,0.216,284.8148148
SF,T,A,1,3,67.02,0.209,320.6698565
SF,T,A,2,1,25.96,0.092,282.173913
SF,T,A,2,2,82.18,0.273,301.025641
SF,T,A,2,3,24.06,0.11,218.7272727
SF,T,A,3,1,22.36,0.081,276.0493827
SF,T,A,3,2,88.82,0.309,287.4433657
SF,T,A,3,3,52.53,0.19,276.4736842
SF,T,A,4,1,19.05,0.047,405.3191489
SF,T,A,4,2,81.26,0.259,313.7451737
SF,T,A,4,3,44.85,0.155,289.3548387
SF,T,A,5,1,23.37,0.061,383.1147541
SF,T,A,5,2,76.75,0.229,335.1528384
SF,T,A,5,3,54.51,0.209,260.8133971
SF,T,A,6,1,28.61,0.05,572.2
SF,T,A,6,2,90.63,0.258,351.2790698
SF,T,A,6,3,54.51,0.186,293.0645161
SF,T,A,7,1,31.21,0.06,520.1666667
SF,T,A,7,2,55.39,0.166,333.6746988
SF,T,A,7,3,41.69,0.141,295.6737589
SF,T,A,8,1,9.24,0.036,256.6666667
SF,T,A,8,2,39.42,0.127,310.3937008
SF,T,A,8,3,70.29,0.241,291.659751
SF,C,B,1,1,21.54,0.072,299.1666667
SF,C,B,1,2,66.96,0.294,227.755102
SF,C,B,1,3,76.56,0.304,251.8421053
SF,C,B,2,1,9.79,0.026,376.5384615
SF,C,B,2,2,64.77,0.199,325.4773869
SF,C,B,2,3,31.71,0.112,283.125
SF,C,B,3,1,11.09,0.034,326.1764706
SF,C,B,3,2,116.23,0.212,548.254717
SF,C,B,3,3,40.65,0.135,301.1111111
SF,C,B,4,1,10.75,0.031,346.7741935
SF,C,B,4,2,110.46,0.374,295.3475936
SF,C,B,4,3,27.56,0.132,208.7878788
SF,C,B,5,1,7.16,0.038,188.4210526
SF,C,B,5,2,72.58,0.216,336.0185185
SF,C,B,5,3,48.78,0.197,247.6142132
SF,C,B,6,1,43.77,0.103,424.9514563
SF,C,B,6,2,100.96,0.385,262.2337662
SF,C,B,6,3,32.91,0.143,230.1398601
SF,C,B,7,1,32.91,0.107,307.5700935
SF,C,B,7,2,71.26,0.246,289.6747967
SF,C,B,7,3,47.13,0.18,261.8333333
SF,C,B,8,1,18.06,0.055,328.3636364
SF,C,B,8,2,65.39,0.208,314.375
SF,C,B,8,3,28.97,0.131,221.1450382
SF,T,B,1,1,34.56,0.086,401.8604651
SF,T,B,1,2,95.2,0.261,364.7509579
SF,T,B,1,3,62.88,0.246,255.6097561
SF,T,B,2,1,42.51,0.101,420.8910891
SF,T,B,2,2,102.02,0.286,356.7132867
SF,T,B,2,3,69.64,0.262,265.8015267
SF,T,B,3,1,24.99,0.07,357
SF,T,B,3,2,105.11,0.293,358.7372014
SF,T,B,3,3,91.21,0.423,215.6264775
SF,T,B,4,1,60.1,0.118,509.3220339
SF,T,B,4,2,116.18,0.316,367.6582278
SF,T,B,4,3,107.03,0.367,291.6348774
SF,T,B,5,1,9.11,0.019,479.4736842
SF,T,B,5,2,43.57,0.094,463.5106383
SF,T,B,5,3,151.14,0.591,255.7360406
SF,T,B,6,1,13.47,0.04,336.75
SF,T,B,6,2,55.1,0.122,451.6393443
SF,T,B,6,3,115.22,0.425,271.1058824
SF,T,B,7,1,6.52,0.019,343.1578947
SF,T,B,7,2,22.72,0.043,528.372093
SF,T,B,7,3,59.21,0.125,473.68
SF,T,B,8,1,39.56,0.087,454.7126437
SF,T,B,8,2,66.27,0.202,328.0693069
SF,T,B,8,3,57.71,0.221,261.1312217
