spp,t_c,block,sample,type,date,pre_post,time,Mod Int,Det Gain,Sat Flash Int,Sat PW,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Actinic Mode,Actinic Dur,Ke,Kq,PAR Corr,F',Fm',yield,ETR,PAR,Temp
BA,T,A,5,1p Y(II),8/26/16,pre,8:23:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1071,3501,0.694,34.9,120,25
BA,T,A,6,1p Y(II),8/26/16,pre,8:23:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,259,588,0.559,28.1,120,25
BA,T,A,7,1p Y(II),8/26/16,pre,8:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,449,925,0.514,25.8,120,25
BA,T,A,8,1p Y(II),8/26/16,pre,8:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1489,2290,0.349,17.5,120,25
BA,T,B,1,1p Y(II),8/26/16,pre,8:42:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,354,879,0.597,30,120,25
BA,T,B,2,1p Y(II),8/26/16,pre,8:42:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,157,226,0.305,15.3,120,25
BA,T,B,3,1p Y(II),8/26/16,pre,8:43:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,320,508,0.37,18.6,120,25
BA,T,B,4,1p Y(II),8/26/16,pre,8:43:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,2200,3505,0.372,18.7,120,25
BA,T,B,5,1p Y(II),8/26/16,pre,8:43:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,308,670,0.54,27.2,120,25
BA,T,B,6,1p Y(II),8/26/16,pre,8:44:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,357,683,0.477,24,120,25
BA,T,B,7,1p Y(II),8/26/16,pre,8:44:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,223,288,0.225,11.3,120,25
BA,T,B,8,1p Y(II),8/26/16,pre,8:45:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1097,1770,0.38,19.1,120,25
BA,C,B,1,1p Y(II),8/26/16,na,12:59:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,696,2427,0.713,35.9,120,25
BA,C,B,2,1p Y(II),8/26/16,na,12:59:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,579,1072,0.459,23.1,120,25
BA,C,B,3,1p Y(II),8/26/16,na,12:59:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,660,1021,0.353,17.7,120,25
BA,C,B,4,1p Y(II),8/26/16,na,12:59:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,604,1399,0.568,28.6,120,25
BA,C,B,5,1p Y(II),8/26/16,na,13:00:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,709,2247,0.684,34.4,120,25
BA,C,B,6,1p Y(II),8/26/16,na,13:00:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1255,1738,0.277,13.9,120,25
BA,C,B,7,1p Y(II),8/26/16,na,13:00:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,308,998,0.691,34.8,120,25
BA,C,B,8,1p Y(II),8/26/16,na,13:00:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1713,2777,0.383,19.2,120,25
BA,C,A,1,1p Y(II),8/26/16,na,13:09:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,141,357,0.605,30.4,120,25
BA,C,A,2,1p Y(II),8/26/16,na,13:09:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,432,1155,0.625,31.5,120,25
BA,C,A,3,1p Y(II),8/26/16,na,13:10:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,389,1413,0.724,36.4,120,25
BA,C,A,4,1p Y(II),8/26/16,na,13:10:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1337,2711,0.506,25.5,120,25
BA,C,A,5,1p Y(II),8/26/16,na,13:10:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,240,640,0.625,31.5,120,25
BA,C,A,6,1p Y(II),8/26/16,na,13:10:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,996,2785,0.642,32.3,120,25
BA,C,A,7,1p Y(II),8/26/16,na,13:10:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,271,715,0.62,31.2,120,25
BA,C,A,8,1p Y(II),8/26/16,na,13:10:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1421,2484,0.427,21.5,120,25
BA,T,B,1,1p Y(II),8/26/16,post,13:17:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,314,894,0.648,32.6,120,25
BA,T,B,2,1p Y(II),8/26/16,post,13:17:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1584,2981,0.468,23.5,120,25
BA,T,B,3,1p Y(II),8/26/16,post,13:17:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,593,957,0.38,19.1,120,25
BA,T,B,4,1p Y(II),8/26/16,post,13:17:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,555,1672,0.668,33.6,120,25
BA,T,B,5,1p Y(II),8/26/16,post,13:18:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1403,2879,0.512,25.8,120,25
BA,T,B,6,1p Y(II),8/26/16,post,13:18:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,486,965,0.496,24.9,120,25
BA,T,B,7,1p Y(II),8/26/16,post,13:18:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1487,2539,0.414,20.8,120,25
BA,T,B,8,1p Y(II),8/26/16,post,13:18:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,2039,3373,0.395,19.9,120,25
