spp,t_c,block,sample,date,pre_post,time,F700_Lvl,F735_Lvl,CFR,concentration
SF,C,B,2,8/31/16,na,11:54:03,225,227,1.01,250
SF,C,B,2,9/2/16,na,11:20:33,498,513,1.03,263
SF,C,A,3,8/24/16,na,14:11:18,214,181,0.85,148
SF,C,A,3,8/26/16,na,13:36:01,264,249,0.94,205
SF,C,A,3,8/29/16,na,13:07:41,299,301,1.01,250
SF,C,A,3,8/31/16,na,11:59:28,210,221,1.05,276
SF,C,A,3,9/2/16,na,11:25:29,442,435,0.99,237
SF,C,B,3,8/24/16,na,14:04:50,269,240,0.89,173
SF,C,B,3,8/26/16,na,13:43:39,245,231,0.94,205
SF,C,B,3,8/29/16,na,13:02:37,362,363,1.01,250
SF,C,B,3,8/31/16,na,11:54:14,170,173,1.02,257
SF,C,B,3,9/2/16,na,11:20:41,492,525,1.07,288
SF,C,A,4,8/24/16,na,14:11:28,237,203,0.86,154
SF,C,A,4,8/26/16,na,13:36:15,242,229,0.95,211
SF,C,A,4,8/29/16,na,13:07:50,350,357,1.02,257
SF,C,A,4,8/31/16,na,11:59:37,217,225,1.04,269
SF,C,A,4,9/2/16,na,11:25:38,493,506,1.03,263
SF,C,B,4,8/24/16,na,14:05:00,257,235,0.92,192
SF,C,B,4,8/26/16,na,13:43:54,285,264,0.93,198
SF,C,B,4,8/29/16,na,13:02:47,327,334,1.02,257
SF,C,B,4,8/31/16,na,11:54:27,202,207,1.03,263
SF,C,B,4,9/2/16,na,11:20:54,531,551,1.04,269
SF,C,A,5,8/24/16,na,14:11:37,227,203,0.9,179
SF,C,A,5,8/26/16,na,13:36:27,236,233,0.99,236
SF,C,A,5,8/29/16,na,13:08:00,359,367,1.02,257
SF,C,A,5,8/31/16,na,11:59:48,207,227,1.1,307
SF,C,A,5,9/2/16,na,11:25:46,416,468,1.13,326
SF,C,B,5,8/24/16,na,14:06:17,257,225,0.88,167
SF,C,B,5,8/26/16,na,13:44:10,209,202,0.97,224
SF,C,B,5,8/29/16,na,13:02:57,297,310,1.04,269
SF,C,B,5,8/31/16,na,11:54:38,167,177,1.06,282
SF,C,B,5,9/2/16,na,11:21:02,429,477,1.11,314
SF,C,A,6,8/24/16,na,14:11:46,244,232,0.95,211
SF,C,A,6,8/26/16,na,13:36:44,294,268,0.91,186
SF,C,A,6,8/29/16,na,13:08:10,319,308,0.97,225
SF,C,A,6,8/31/16,na,11:59:58,279,249,0.89,174
SF,C,A,6,9/2/16,na,11:25:54,586,599,1.02,257
SF,C,B,6,8/24/16,na,14:06:27,261,238,0.91,186
SF,C,B,6,8/26/16,na,13:44:24,219,215,0.98,230
SF,C,B,6,8/29/16,na,13:03:14,366,380,1.04,269
SF,C,B,6,8/31/16,na,11:54:53,156,199,1.28,422
SF,C,B,6,9/2/16,na,11:21:11,497,389,0.78,104
SF,C,A,7,8/24/16,na,14:11:59,232,207,0.89,173
SF,C,A,7,8/26/16,na,13:36:56,230,232,1.01,249
SF,C,A,7,8/29/16,na,13:08:20,329,317,0.96,218
SF,C,A,7,8/31/16,na,12:00:08,210,192,0.92,193
SF,C,A,7,9/2/16,na,11:26:03,430,466,1.09,301
SF,C,B,7,8/24/16,na,14:06:35,264,240,0.91,186
SF,C,B,7,8/26/16,na,13:44:34,209,208,1,243
SF,C,B,7,8/29/16,na,13:03:25,328,326,1,244
SF,C,B,7,8/31/16,na,11:55:04,204,220,1.08,295
SF,C,B,7,9/2/16,na,11:21:20,470,518,1.1,307
SF,C,A,8,8/24/16,na,14:12:11,183,171,0.94,205
SF,C,A,8,8/26/16,na,13:37:21,250,255,1.02,255
SF,C,A,8,8/29/16,na,13:08:30,346,353,1.02,257
SF,C,A,8,8/31/16,na,12:00:16,212,226,1.07,288
SF,C,A,8,9/2/16,na,11:26:13,526,556,1.06,282
SF,C,B,8,8/24/16,na,14:06:44,230,207,0.9,179
SF,C,B,8,8/26/16,na,13:44:46,222,204,0.92,192
SF,C,B,8,8/29/16,na,13:03:35,317,324,1.02,257
SF,C,B,8,8/31/16,na,11:55:16,174,187,1.08,295
SF,C,B,8,9/2/16,na,11:21:32,417,430,1.03,263
SF,T,A,1,8/24/16,pre,13:44:16,272,237,0.87,160
SF,T,A,1,8/24/16,post,15:10:06,410,405,0.99,236
SF,T,A,1,8/26/16,pre,8:57:00,390,396,1.02,255
SF,T,A,1,8/26/16,post,14:02:50,431,474,1.1,307
SF,T,A,1,8/29/16,pre,10:47:37,343,371,1.08,295
SF,T,A,1,8/29/16,post,12:23:06,423,478,1.13,326
SF,T,A,1,8/31/16,pre,9:49:03,323,336,1.04,269
SF,T,A,1,8/31/16,post,13:55:55,315,326,1.04,269
SF,T,A,1,9/2/16,pre,8:41:54,313,354,1.13,326
SF,T,A,1,9/2/16,post,11:31:46,483,533,1.11,314
SF,T,B,1,8/24/16,pre,10:39:40,236,221,0.94,205
SF,T,B,1,8/24/16,post,14:31:23,172,175,1.02,255
SF,T,B,1,8/26/16,pre,9:11:16,296,324,1.1,306
SF,T,B,1,8/26/16,post,13:55:48,497,554,1.12,320
SF,T,B,1,8/29/16,pre,10:11:43,444,478,1.08,295
SF,T,B,1,8/29/16,post,11:36:44,478,531,1.11,314
SF,T,B,1,8/31/16,pre,9:41:35,306,313,1.03,263
SF,T,B,1,8/31/16,post,13:50:23,387,419,1.08,295
SF,T,B,1,9/2/16,pre,8:32:08,473,521,1.1,307
SF,T,B,1,9/2/16,post,10:29:55,220,264,1.2,371
SF,T,A,2,8/24/16,pre,13:44:24,249,234,0.94,205
SF,T,A,2,8/24/16,post,15:10:16,421,426,1.01,249
